Ticker,Name,Price,Volume,Signal,Model,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
GIS,"General Mills, Inc.",$54.54,3290441,Buy,BBANDS[50_1_1]_breakout,100.0%,1.88%,1.89%,38.04,20.00,9.3,https://arizet.com/quantumstocks/#v/pl/tk/GIS/sn/BBANDS[50_1_1]_breakout/sg/Buy/bk/BBANDS[50_1_1]_breakout_Buy_GIS_1:3_ATR[20]_m24/tp/Ticker/
HE,"Hawaiian Electric Industries, Inc.",$44.30,265349,Buy,EMA[20]_price_crossover,100.0%,2.18%,1.51%,6.91,28.00,11.0,https://arizet.com/quantumstocks/#v/pl/tk/HE/sn/EMA[20]_price_crossover/sg/Buy/bk/EMA[20]_price_crossover_Buy_HE_1:3_ATR[20]_m24/tp/Ticker/
ADUS,"Addus HomeCare Corporation",$77.36,160508,Buy,BBANDS[50_1_1]_counter_trend,100.0%,6.54%,5.12%,4.87,17.00,14.6,https://arizet.com/quantumstocks/#v/pl/tk/ADUS/sn/BBANDS[50_1_1]_counter_trend/sg/Buy/bk/BBANDS[50_1_1]_counter_trend_Buy_ADUS_exit_after_10_days_m24/tp/Ticker/
ASNA,"Ascena Retail Group, Inc.",$0.33,3460385,Buy,WMA[50]_price_crossover,100.0%,7.47%,7.34%,14.75,18.00,9.2,https://arizet.com/quantumstocks/#v/pl/tk/ASNA/sn/WMA[50]_price_crossover/sg/Buy/bk/WMA[50]_price_crossover_Sell_ASNA_1:3_ATR[20]_m24/tp/Ticker/
ATO,"Atmos Energy Corporation",$110.11,345923,Buy,BBANDS[50_1_1]_breakout,100.0%,1.47%,1.41%,29.07,32.00,9.3,https://arizet.com/quantumstocks/#v/pl/tk/ATO/sn/BBANDS[50_1_1]_breakout/sg/Buy/bk/BBANDS[50_1_1]_breakout_Buy_ATO_1:3_ATR[20]_m24/tp/Ticker/
AWRE,"Aware, Inc.",$2.77,10511,Buy,BBANDS[10_2_2]_counter_trend,100.0%,3.94%,4.14%,20.92,17.00,6.9,https://arizet.com/quantumstocks/#v/pl/tk/AWRE/sn/BBANDS[10_2_2]_counter_trend/sg/Buy/bk/BBANDS[10_2_2]_counter_trend_Sell_AWRE_1:3_ATR[20]_m24/tp/Ticker/
AWRE,"Aware, Inc.",$2.77,10511,Buy,BBANDS[20_1_1]_counter_trend,97.3%,3.18%,3.18%,7.09,37.00,9.3,https://arizet.com/quantumstocks/#v/pl/tk/AWRE/sn/BBANDS[20_1_1]_counter_trend/sg/Buy/bk/BBANDS[20_1_1]_counter_trend_Sell_AWRE_1:3_ATR[20]_m24/tp/Ticker/
AWRE,"Aware, Inc.",$2.77,10511,Buy,RSI[5]_crosses_70_30_levels,100.0%,5.20%,4.82%,7.51,18.00,14.8,https://arizet.com/quantumstocks/#v/pl/tk/AWRE/sn/RSI[5]_crosses_70_30_levels/sg/Buy/bk/RSI[5]_crosses_70_30_levels_Sell_AWRE_exit_after_10_days_m24/tp/Ticker/
BEST,"BEST, Inc. Sponsored ADR",$5.50,2863294,Buy,SMA[5]_price_crossover,100.0%,5.51%,5.28%,29.76,20.00,5.6,https://arizet.com/quantumstocks/#v/pl/tk/BEST/sn/SMA[5]_price_crossover/sg/Buy/bk/SMA[5]_price_crossover_Buy_BEST_1:3_ATR[20]_m24/tp/Ticker/
CEI,"Lucas Energy, Inc.",$0.23,14477551,Buy,SMA[10]_price_crossover,100.0%,19.15%,17.50%,12.81,30.00,11.8,https://arizet.com/quantumstocks/#v/pl/tk/CEI/sn/SMA[10]_price_crossover/sg/Buy/bk/SMA[10]_price_crossover_Sell_CEI_1:3_ATR[20]_m24/tp/Ticker/
CEI,"Lucas Energy, Inc.",$0.23,14477551,Buy,TRIMA[10]_price_crossover,100.0%,20.50%,18.39%,14.62,36.00,13.3,https://arizet.com/quantumstocks/#v/pl/tk/CEI/sn/TRIMA[10]_price_crossover/sg/Buy/bk/TRIMA[10]_price_crossover_Sell_CEI_1:3_ATR[20]_m24/tp/Ticker/
CEL,"Cellcom Israel, Ltd.",$2.11,13474,Buy,CCI[20]_crosses_back_100_(-100)_levels,100.0%,2.74%,2.75%,16.42,18.00,6.9,https://arizet.com/quantumstocks/#v/pl/tk/CEL/sn/CCI[20]_crosses_back_100_(-100)_levels/sg/Buy/bk/CCI[20]_crosses_back_100_(-100)_levels_Sell_CEL_1:3_ATR[20]_m24/tp/Ticker/
CHE,"Chemed Corporation",$419.98,84541,Buy,MFI[7]_crosses_70_30_levels,100.0%,2.23%,1.93%,10.36,17.00,9.1,https://arizet.com/quantumstocks/#v/pl/tk/CHE/sn/MFI[7]_crosses_70_30_levels/sg/Buy/bk/MFI[7]_crosses_70_30_levels_Buy_CHE_1:3_ATR[20]_m24/tp/Ticker/
CLR,"Continental Resources, Inc.",$39.16,11566238,Buy,SMA[50]_price_crossover,100.0%,6.55%,7.00%,15.48,19.00,14.9,https://arizet.com/quantumstocks/#v/pl/tk/CLR/sn/SMA[50]_price_crossover/sg/Buy/bk/SMA[50]_price_crossover_Sell_CLR_2:3_ATR[20]_m24/tp/Ticker/
CP,"Canadian Pacific Railway Limited",$231.50,586249,Buy,STOCHF[21_3]_K_crosses_D_line,100.0%,5.95%,4.92%,4.82,16.00,29.4,https://arizet.com/quantumstocks/#v/pl/tk/CP/sn/STOCHF[21_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[21_3]_K_crosses_D_line_Buy_CP_exit_after_20_days_m24/tp/Ticker/
CP,"Canadian Pacific Railway Limited",$231.50,586249,Buy,STOCHF[5_3]_K_crosses_D_line,100.0%,4.58%,3.02%,3.87,16.00,29.6,https://arizet.com/quantumstocks/#v/pl/tk/CP/sn/STOCHF[5_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[5_3]_K_crosses_D_line_Buy_CP_exit_after_20_days_m24/tp/Ticker/
CP,"Canadian Pacific Railway Limited",$231.50,586249,Buy,STOCH[5_1_3]_K_crosses_D_line,100.0%,4.58%,3.02%,3.87,16.00,29.6,https://arizet.com/quantumstocks/#v/pl/tk/CP/sn/STOCH[5_1_3]_K_crosses_D_line/sg/Buy/bk/STOCH[5_1_3]_K_crosses_D_line_Buy_CP_exit_after_20_days_m24/tp/Ticker/
CRVL,"CorVel Corp.",$80.35,71009,Buy,STOCHF[14_3]_K_crosses_D_line,100.0%,3.25%,3.34%,15.57,16.00,13.9,https://arizet.com/quantumstocks/#v/pl/tk/CRVL/sn/STOCHF[14_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[14_3]_K_crosses_D_line_Buy_CRVL_1:3_ATR[20]_m24/tp/Ticker/
CRVL,"CorVel Corp.",$80.35,71009,Buy,STOCHF[21_3]_K_crosses_D_line,100.0%,3.30%,3.39%,16.19,16.00,12.8,https://arizet.com/quantumstocks/#v/pl/tk/CRVL/sn/STOCHF[21_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[21_3]_K_crosses_D_line_Buy_CRVL_1:3_ATR[20]_m24/tp/Ticker/
DEO,"Diageo plc",$161.41,326542,Buy,CCI[40]_crosses_100_(-100)_levels,100.0%,1.16%,1.24%,16.99,16.00,10.1,https://arizet.com/quantumstocks/#v/pl/tk/DEO/sn/CCI[40]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[40]_crosses_100_(-100)_levels_Buy_DEO_1:3_ATR[20]_m24/tp/Ticker/
DO,"Diamond Offshore Drilling, Inc.",$8.71,3497245,Buy,BBANDS[20_2_2]_breakout,100.0%,5.63%,5.23%,13.78,16.00,5.8,https://arizet.com/quantumstocks/#v/pl/tk/DO/sn/BBANDS[20_2_2]_breakout/sg/Buy/bk/BBANDS[20_2_2]_breakout_Sell_DO_1:3_ATR[20]_m24/tp/Ticker/
EEFT,"Euronet Worldwide, Inc.",$147.01,300260,Buy,STOCHF[14_3]_K_crosses_D_line,100.0%,6.67%,6.41%,5.66,16.00,29.1,https://arizet.com/quantumstocks/#v/pl/tk/EEFT/sn/STOCHF[14_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[14_3]_K_crosses_D_line_Buy_EEFT_exit_after_20_days_m24/tp/Ticker/
EMKR,"EMCORE Corporation",$3.08,33577,Buy,WMA[100]_price_crossover,100.0%,4.25%,4.27%,42.37,16.00,10.4,https://arizet.com/quantumstocks/#v/pl/tk/EMKR/sn/WMA[100]_price_crossover/sg/Buy/bk/WMA[100]_price_crossover_Sell_EMKR_1:3_ATR[20]_m24/tp/Ticker/
EQM,"EQT Midstream Partners, LP",$31.70,1128197,Buy,BBANDS[10_2_2]_breakout,100.0%,2.70%,2.49%,17.25,24.00,5.3,https://arizet.com/quantumstocks/#v/pl/tk/EQM/sn/BBANDS[10_2_2]_breakout/sg/Buy/bk/BBANDS[10_2_2]_breakout_Sell_EQM_1:3_ATR[20]_m24/tp/Ticker/
EVER,"EverQuote, Inc.",$24.73,523152,Buy,ZIGZAGHL[3_3_0_10]_trend_follow,97.4%,21.32%,15.64%,8.47,39.00,28.9,https://arizet.com/quantumstocks/#v/pl/tk/EVER/sn/ZIGZAGHL[3_3_0_10]_trend_follow/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_trend_follow_Buy_EVER_exit_after_20_days_m24/tp/Ticker/
EVER,"EverQuote, Inc.",$24.73,523152,Buy,ZIGZAGHL[5_15_0_7]_trend_follow,97.1%,22.88%,21.22%,8.55,35.00,28.9,https://arizet.com/quantumstocks/#v/pl/tk/EVER/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_EVER_exit_after_20_days_m24/tp/Ticker/
FBMS,"The First Bancshares, Inc.",$33.79,58311,Buy,ZIGZAGHL[3_3_0_10]_trend_follow,97.2%,1.77%,1.99%,7.83,36.00,9.2,https://arizet.com/quantumstocks/#v/pl/tk/FBMS/sn/ZIGZAGHL[3_3_0_10]_trend_follow/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_trend_follow_Buy_FBMS_1:3_ATR[20]_m24/tp/Ticker/
FLL,"Full House Resorts, Inc.",$2.00,46138,Buy,ADOSC[3_10]_crosses_0_level,100.0%,4.87%,4.42%,12.84,15.00,14.3,https://arizet.com/quantumstocks/#v/pl/tk/FLL/sn/ADOSC[3_10]_crosses_0_level/sg/Buy/bk/ADOSC[3_10]_crosses_0_level_Sell_FLL_1:3_ATR[20]_m24/tp/Ticker/
ADRO,"Aduro Biotech, Inc.",$1.35,215589,Buy,WMA[50]_price_crossover,100.0%,7.92%,7.74%,21.85,20.00,9.9,https://arizet.com/quantumstocks/#v/pl/tk/ADRO/sn/WMA[50]_price_crossover/sg/Buy/bk/WMA[50]_price_crossover_Sell_ADRO_1:3_ATR[20]_m24/tp/Ticker/
GPOR,"Gulfport Energy Corporation",$3.48,10385165,Buy,WMA[50]_price_crossover,97.1%,3.81%,4.45%,6.79,35.00,7.4,https://arizet.com/quantumstocks/#v/pl/tk/GPOR/sn/WMA[50]_price_crossover/sg/Buy/bk/WMA[50]_price_crossover_Sell_GPOR_1:3_ATR[20]_m24/tp/Ticker/
HES,"Hess Corporation",$70.29,6730322,Buy,MACD[10_20_5]_crosses_signal_line,100.0%,3.34%,3.10%,24.57,25.00,4.8,https://arizet.com/quantumstocks/#v/pl/tk/HES/sn/MACD[10_20_5]_crosses_signal_line/sg/Buy/bk/MACD[10_20_5]_crosses_signal_line_Buy_HES_1:3_ATR[20]_m24/tp/Ticker/
HE,"Hawaiian Electric Industries, Inc.",$44.30,265349,Buy,CMO[14]_crosses_0_level,100.0%,1.91%,1.50%,6.74,25.00,10.4,https://arizet.com/quantumstocks/#v/pl/tk/HE/sn/CMO[14]_crosses_0_level/sg/Buy/bk/CMO[14]_crosses_0_level_Buy_HE_1:3_ATR[20]_m24/tp/Ticker/
HE,"Hawaiian Electric Industries, Inc.",$44.30,265349,Buy,CMO[9]_crosses_0_level,100.0%,2.08%,1.45%,6.94,30.00,10.7,https://arizet.com/quantumstocks/#v/pl/tk/HE/sn/CMO[9]_crosses_0_level/sg/Buy/bk/CMO[9]_crosses_0_level_Buy_HE_1:3_ATR[20]_m24/tp/Ticker/
INFY,"Infosys Limited",$11.76,8330303,Buy,STOCHRSI[14_5_3]_D_crosses_50_level,97.8%,1.45%,1.62%,7.73,46.00,9.3,https://arizet.com/quantumstocks/#v/pl/tk/INFY/sn/STOCHRSI[14_5_3]_D_crosses_50_level/sg/Buy/bk/STOCHRSI[14_5_3]_D_crosses_50_level_Buy_INFY_1:3_ATR[20]_m24/tp/Ticker/
INFY,"Infosys Limited",$11.76,8330303,Buy,STOCHRSI[21_5_3]_D_crosses_50_level,97.8%,1.46%,1.63%,7.59,45.00,9.6,https://arizet.com/quantumstocks/#v/pl/tk/INFY/sn/STOCHRSI[21_5_3]_D_crosses_50_level/sg/Buy/bk/STOCHRSI[21_5_3]_D_crosses_50_level_Buy_INFY_1:3_ATR[20]_m24/tp/Ticker/
JCS,"Communications Systems, Inc.",$5.11,49512,Buy,ZIGZAGHL[5_15_0_7]_trend_follow,100.0%,16.97%,19.03%,6.74,17.00,28.6,https://arizet.com/quantumstocks/#v/pl/tk/JCS/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_JCS_exit_after_20_days_m24/tp/Ticker/
KBR,"KBR, Inc.",$26.17,1111523,Buy,BBANDS[50_1_1]_breakout,100.0%,2.62%,2.60%,29.75,19.00,7.0,https://arizet.com/quantumstocks/#v/pl/tk/KBR/sn/BBANDS[50_1_1]_breakout/sg/Buy/bk/BBANDS[50_1_1]_breakout_Buy_KBR_1:3_ATR[20]_m24/tp/Ticker/
KFRC,"Kforce, Inc.",$34.46,110280,Buy,EMA[100]_price_crossover,100.0%,2.90%,2.63%,12.17,16.00,9.6,https://arizet.com/quantumstocks/#v/pl/tk/KFRC/sn/EMA[100]_price_crossover/sg/Buy/bk/EMA[100]_price_crossover_Buy_KFRC_1:3_ATR[20]_m24/tp/Ticker/
KOPN,"Kopin Corporation",$0.79,943994,Buy,STOCHF[14_3]_K_crosses_D_line,100.0%,11.64%,11.68%,5.75,15.00,28.4,https://arizet.com/quantumstocks/#v/pl/tk/KOPN/sn/STOCHF[14_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[14_3]_K_crosses_D_line_Sell_KOPN_exit_after_20_days_m24/tp/Ticker/
LMT,"Lockheed Martin Corporation",$392.66,1685134,Buy,ACCBANDS[50]_breakout,100.0%,1.83%,1.59%,7.80,15.00,9.5,https://arizet.com/quantumstocks/#v/pl/tk/LMT/sn/ACCBANDS[50]_breakout/sg/Buy/bk/ACCBANDS[50]_breakout_Buy_LMT_1:3_ATR[20]_m24/tp/Ticker/
LPI,"Laredo Petroleum, Inc.",$3.06,14037917,Buy,CMO[21]_crosses_0_level,100.0%,5.49%,5.40%,19.88,21.00,8.1,https://arizet.com/quantumstocks/#v/pl/tk/LPI/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Sell_LPI_1:3_ATR[20]_m24/tp/Ticker/
MTZ,"MasTec, Inc.",$66.36,1012817,Buy,ZIGZAGHL[10_10_0_5]_trend_follow,97.2%,2.33%,2.58%,8.06,36.00,8.6,https://arizet.com/quantumstocks/#v/pl/tk/MTZ/sn/ZIGZAGHL[10_10_0_5]_trend_follow/sg/Buy/bk/ZIGZAGHL[10_10_0_5]_trend_follow_Buy_MTZ_1:3_ATR[20]_m24/tp/Ticker/
NOW,"ServiceNow, Inc.",$261.15,1175429,Buy,CCI[20]_crosses_back_100_(-100)_levels,100.0%,3.70%,3.19%,11.80,17.00,7.8,https://arizet.com/quantumstocks/#v/pl/tk/NOW/sn/CCI[20]_crosses_back_100_(-100)_levels/sg/Buy/bk/CCI[20]_crosses_back_100_(-100)_levels_Buy_NOW_1:2_ATR[20]_m24/tp/Ticker/
PFSW,"PFSweb, Inc.",$2.93,59564,Buy,CMO[21]_crosses_0_level,100.0%,4.58%,3.88%,13.54,27.00,9.6,https://arizet.com/quantumstocks/#v/pl/tk/PFSW/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Sell_PFSW_1:3_ATR[20]_m24/tp/Ticker/
PULS,"Pulse Electronics Corp.",$50.12,77973,Buy,SR[3]_breakout,98.5%,0.11%,0.11%,22.41,66.00,14.9,https://arizet.com/quantumstocks/#v/pl/tk/PULS/sn/SR[3]_breakout/sg/Buy/bk/SR[3]_breakout_Buy_PULS_3:2_ATR[20]_m24/tp/Ticker/
PULS,"Pulse Electronics Corp.",$50.12,77973,Buy,SR[5]_breakout,98.4%,0.11%,0.11%,20.79,61.00,14.7,https://arizet.com/quantumstocks/#v/pl/tk/PULS/sn/SR[5]_breakout/sg/Buy/bk/SR[5]_breakout_Buy_PULS_3:2_ATR[20]_m24/tp/Ticker/
QADA,"QAD Inc.",$43.72,82358,Buy,BBANDS[50_1_1]_breakout,100.0%,4.44%,4.72%,12.30,17.00,15.3,https://arizet.com/quantumstocks/#v/pl/tk/QADA/sn/BBANDS[50_1_1]_breakout/sg/Buy/bk/BBANDS[50_1_1]_breakout_Buy_QADA_2:3_ATR[20]_m24/tp/Ticker/
RESI,"FRONT YARD RESIDENTIAL CORP",$11.60,87458,Buy,SMA[50]_price_crossover,100.0%,2.90%,2.72%,15.86,15.00,7.3,https://arizet.com/quantumstocks/#v/pl/tk/RESI/sn/SMA[50]_price_crossover/sg/Buy/bk/SMA[50]_price_crossover_Sell_RESI_1:3_ATR[20]_m24/tp/Ticker/
RES,"RPC, Inc.",$6.75,6672558,Buy,SMA[50]_price_crossover,100.0%,4.27%,4.19%,24.69,15.00,6.3,https://arizet.com/quantumstocks/#v/pl/tk/RES/sn/SMA[50]_price_crossover/sg/Buy/bk/SMA[50]_price_crossover_Sell_RES_1:3_ATR[20]_m24/tp/Ticker/
RES,"RPC, Inc.",$6.75,6672558,Buy,TRIMA[50]_price_crossover,100.0%,3.95%,4.13%,17.70,21.00,9.4,https://arizet.com/quantumstocks/#v/pl/tk/RES/sn/TRIMA[50]_price_crossover/sg/Buy/bk/TRIMA[50]_price_crossover_Sell_RES_1:3_ATR[20]_m24/tp/Ticker/
RNG,"Ringcentral, Inc.",$126.37,592103,Buy,MFI[5]_crosses_back_70_30_levels,100.0%,3.50%,3.29%,14.06,23.00,11.2,https://arizet.com/quantumstocks/#v/pl/tk/RNG/sn/MFI[5]_crosses_back_70_30_levels/sg/Buy/bk/MFI[5]_crosses_back_70_30_levels_Buy_RNG_1:3_ATR[20]_m24/tp/Ticker/
SYNC,"Synacor, Inc.",$1.45,66939,Buy,TRIMA[50]_price_crossover,100.0%,5.39%,4.76%,11.68,18.00,8.9,https://arizet.com/quantumstocks/#v/pl/tk/SYNC/sn/TRIMA[50]_price_crossover/sg/Buy/bk/TRIMA[50]_price_crossover_Sell_SYNC_1:3_ATR[20]_m24/tp/Ticker/
TEO,"Telecom Argentina Stet - France Telecom S.A.",$9.78,423292,Buy,ZIGZAGHL[3_3_0_10]_mean_reversion,100.0%,5.33%,5.23%,41.54,18.00,6.9,https://arizet.com/quantumstocks/#v/pl/tk/TEO/sn/ZIGZAGHL[3_3_0_10]_mean_reversion/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_mean_reversion_Buy_TEO_1:3_ATR[20]_m24/tp/Ticker/
VIRC,"Virco Manufacturing Corporation",$3.85,40888,Buy,CCI[40]_crosses_100_(-100)_levels,100.0%,3.90%,3.81%,22.28,16.00,7.7,https://arizet.com/quantumstocks/#v/pl/tk/VIRC/sn/CCI[40]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[40]_crosses_100_(-100)_levels_Buy_VIRC_1:3_ATR[20]_m24/tp/Ticker/
VRTX,"Vertex Pharmaceuticals Incorporated",$177.55,947081,Buy,WMA[100]_price_crossover,100.0%,2.74%,2.59%,25.74,21.00,9.0,https://arizet.com/quantumstocks/#v/pl/tk/VRTX/sn/WMA[100]_price_crossover/sg/Buy/bk/WMA[100]_price_crossover_Sell_VRTX_1:3_ATR[20]_m24/tp/Ticker/
WEC,"WEC Energy Group, Inc.",$91.31,1193840,Buy,MFI[9]_crosses_70_30_levels,100.0%,2.05%,1.50%,5.98,16.00,10.1,https://arizet.com/quantumstocks/#v/pl/tk/WEC/sn/MFI[9]_crosses_70_30_levels/sg/Buy/bk/MFI[9]_crosses_70_30_levels_Buy_WEC_1:3_ATR[20]_m24/tp/Ticker/
WLL,"Whiting Petroleum Corporation",$11.23,56193679,Buy,WMA[50]_price_crossover,100.0%,5.55%,5.23%,12.13,22.00,6.0,https://arizet.com/quantumstocks/#v/pl/tk/WLL/sn/WMA[50]_price_crossover/sg/Buy/bk/WMA[50]_price_crossover_Buy_WLL_1:3_ATR[20]_m24/tp/Ticker/
BANF,"BancFirst Corporation",$58.03,41994,Sell,SR[20]_counter_trend,100.0%,2.50%,2.38%,24.18,18.00,8.1,https://arizet.com/quantumstocks/#v/pl/tk/BANF/sn/SR[20]_counter_trend/sg/Sell/bk/SR[20]_counter_trend_Buy_BANF_1:3_ATR[20]_m24/tp/Ticker/
DVA,"DaVita Inc.",$63.28,2770902,Sell,ZIGZAGHL[3_3_0_10]_mean_reversion,100.0%,11.35%,9.64%,5.72,16.00,28.7,https://arizet.com/quantumstocks/#v/pl/tk/DVA/sn/ZIGZAGHL[3_3_0_10]_mean_reversion/sg/Sell/bk/ZIGZAGHL[3_3_0_10]_mean_reversion_Buy_DVA_exit_after_20_days_m24/tp/Ticker/
ECL,"Ecolab Inc.",$192.11,1364068,Sell,EMA[100]_price_crossover,100.0%,4.27%,3.98%,7.47,15.00,28.5,https://arizet.com/quantumstocks/#v/pl/tk/ECL/sn/EMA[100]_price_crossover/sg/Sell/bk/EMA[100]_price_crossover_Buy_ECL_exit_after_20_days_m24/tp/Ticker/
ECL,"Ecolab Inc.",$192.11,1364068,Sell,SMA[100]_price_crossover,100.0%,3.53%,2.66%,5.62,16.00,21.4,https://arizet.com/quantumstocks/#v/pl/tk/ECL/sn/SMA[100]_price_crossover/sg/Sell/bk/SMA[100]_price_crossover_Buy_ECL_exit_after_15_days_m24/tp/Ticker/
